CryptoDate,Close,CryptoID,Ticker
2017-11-09,1.2229399681091309,2017-11-09ICX,ICX
2017-11-10,0.916496992111206,2017-11-10ICX,ICX
2017-11-11,1.0527900457382202,2017-11-11ICX,ICX
2017-11-12,1.0415600538253784,2017-11-12ICX,ICX
2017-11-13,0.957364022731781,2017-11-13ICX,ICX
2017-11-14,1.063040018081665,2017-11-14ICX,ICX
2017-11-15,1.0028200149536133,2017-11-15ICX,ICX
2017-11-16,1.0387599468231201,2017-11-16ICX,ICX
2017-11-17,0.9753360152244568,2017-11-17ICX,ICX
2017-11-18,0.9784470200538635,2017-11-18ICX,ICX
2017-11-19,1.0042799711227417,2017-11-19ICX,ICX
2017-11-20,0.9640740156173706,2017-11-20ICX,ICX
2017-11-21,1.0548900365829468,2017-11-21ICX,ICX
2017-11-22,1.0911600589752197,2017-11-22ICX,ICX
2017-11-23,1.0136499404907227,2017-11-23ICX,ICX
2017-11-24,1.0978000164031982,2017-11-24ICX,ICX
2017-11-25,1.1919300556182861,2017-11-25ICX,ICX
2017-11-26,1.0003600120544434,2017-11-26ICX,ICX
2017-11-27,1.4469599723815918,2017-11-27ICX,ICX
2017-11-28,1.615399956703186,2017-11-28ICX,ICX
2017-11-29,1.101989984512329,2017-11-29ICX,ICX
2017-11-30,1.3548500537872314,2017-11-30ICX,ICX
2017-12-01,1.4603500366210938,2017-12-01ICX,ICX
2017-12-02,1.6214100122451782,2017-12-02ICX,ICX
2017-12-03,1.5458999872207642,2017-12-03ICX,ICX
2017-12-04,1.1572400331497192,2017-12-04ICX,ICX
2017-12-05,1.5844000577926636,2017-12-05ICX,ICX
2017-12-06,1.7530699968338013,2017-12-06ICX,ICX
2017-12-07,1.8958799839019775,2017-12-07ICX,ICX
2017-12-08,1.7801599502563477,2017-12-08ICX,ICX
2017-12-09,1.876189947128296,2017-12-09ICX,ICX
2017-12-10,1.7574299573898315,2017-12-10ICX,ICX
2017-12-11,1.9760799407958984,2017-12-11ICX,ICX
2017-12-12,2.109499931335449,2017-12-12ICX,ICX
2017-12-13,2.027139902114868,2017-12-13ICX,ICX
2017-12-14,2.023829936981201,2017-12-14ICX,ICX
2017-12-15,2.398629903793335,2017-12-15ICX,ICX
2017-12-16,2.60017991065979,2017-12-16ICX,ICX
2017-12-17,2.8336899280548096,2017-12-17ICX,ICX
2017-12-18,2.1590800285339355,2017-12-18ICX,ICX
2017-12-19,2.137320041656494,2017-12-19ICX,ICX
2017-12-20,2.1627700328826904,2017-12-20ICX,ICX
2017-12-21,2.9101901054382324,2017-12-21ICX,ICX
2017-12-22,2.728640079498291,2017-12-22ICX,ICX
2017-12-23,4.062860012054443,2017-12-23ICX,ICX
2017-12-24,4.337009906768799,2017-12-24ICX,ICX
2017-12-25,6.913449764251709,2017-12-25ICX,ICX
2017-12-26,6.179460048675537,2017-12-26ICX,ICX
2017-12-27,5.188270092010498,2017-12-27ICX,ICX
2017-12-28,5.794710159301758,2017-12-28ICX,ICX
2017-12-29,5.5122599601745605,2017-12-29ICX,ICX
2017-12-30,5.203849792480469,2017-12-30ICX,ICX
2017-12-31,5.353529930114746,2017-12-31ICX,ICX
2018-01-01,6.156990051269531,2018-01-01ICX,ICX
2018-01-02,6.491230010986328,2018-01-02ICX,ICX
2018-01-03,7.343070030212402,2018-01-03ICX,ICX
2018-01-04,7.240419864654541,2018-01-04ICX,ICX
2018-01-05,6.841410160064697,2018-01-05ICX,ICX
2018-01-06,7.761809825897217,2018-01-06ICX,ICX
2018-01-07,9.918049812316895,2018-01-07ICX,ICX
2018-01-08,10.413100242614746,2018-01-08ICX,ICX
2018-01-09,12.188400268554688,2018-01-09ICX,ICX
2018-01-10,11.043600082397461,2018-01-10ICX,ICX
2018-01-11,9.1983003616333,2018-01-11ICX,ICX
2018-01-12,9.962189674377441,2018-01-12ICX,ICX
2018-01-13,9.924790382385254,2018-01-13ICX,ICX
2018-01-14,10.588500022888184,2018-01-14ICX,ICX
2018-01-15,9.874019622802734,2018-01-15ICX,ICX
2018-01-16,7.510469913482666,2018-01-16ICX,ICX
2018-01-17,7.469419956207275,2018-01-17ICX,ICX
2018-01-18,7.932690143585205,2018-01-18ICX,ICX
2018-01-19,8.430109977722168,2018-01-19ICX,ICX
2018-01-20,10.331100463867188,2018-01-20ICX,ICX
2018-01-21,8.881999969482422,2018-01-21ICX,ICX
2018-01-22,8.157719612121582,2018-01-22ICX,ICX
2018-01-23,8.115900039672852,2018-01-23ICX,ICX
2018-01-24,8.336319923400879,2018-01-24ICX,ICX
2018-01-25,7.84004020690918,2018-01-25ICX,ICX
2018-01-26,7.9411301612854,2018-01-26ICX,ICX
2018-01-27,7.863709926605225,2018-01-27ICX,ICX
2018-01-28,9.411430358886719,2018-01-28ICX,ICX
2018-01-29,9.467650413513184,2018-01-29ICX,ICX
2018-01-30,8.268830299377441,2018-01-30ICX,ICX
2018-01-31,7.684299945831299,2018-01-31ICX,ICX
2018-02-01,6.092889785766602,2018-02-01ICX,ICX
2018-02-02,5.30348014831543,2018-02-02ICX,ICX
2018-02-03,5.4320597648620605,2018-02-03ICX,ICX
2018-02-04,4.35575008392334,2018-02-04ICX,ICX
2018-02-05,3.076359987258911,2018-02-05ICX,ICX
2018-02-06,4.411600112915039,2018-02-06ICX,ICX
2018-02-07,3.8110499382019043,2018-02-07ICX,ICX
2018-02-08,4.33390998840332,2018-02-08ICX,ICX
2018-02-09,4.573919773101807,2018-02-09ICX,ICX
2018-02-10,4.086559772491455,2018-02-10ICX,ICX
2018-02-11,3.8029000759124756,2018-02-11ICX,ICX
2018-02-12,4.248069763183594,2018-02-12ICX,ICX
2018-02-13,3.9370999336242676,2018-02-13ICX,ICX
2018-02-14,4.4239301681518555,2018-02-14ICX,ICX
2018-02-15,4.860569953918457,2018-02-15ICX,ICX
2018-02-16,4.853799819946289,2018-02-16ICX,ICX
2018-02-17,5.386819839477539,2018-02-17ICX,ICX
2018-02-18,4.7149200439453125,2018-02-18ICX,ICX
2018-02-19,4.806250095367432,2018-02-19ICX,ICX
2018-02-20,4.156670093536377,2018-02-20ICX,ICX
2018-02-21,4.016409873962402,2018-02-21ICX,ICX
2018-02-22,3.756190061569214,2018-02-22ICX,ICX
2018-02-23,3.9504599571228027,2018-02-23ICX,ICX
2018-02-24,3.832859992980957,2018-02-24ICX,ICX
2018-02-25,3.869119882583618,2018-02-25ICX,ICX
2018-02-26,3.9960899353027344,2018-02-26ICX,ICX
2018-02-27,4.026509761810303,2018-02-27ICX,ICX
2018-02-28,3.550960063934326,2018-02-28ICX,ICX
2018-03-01,3.814579963684082,2018-03-01ICX,ICX
2018-03-02,3.7131199836730957,2018-03-02ICX,ICX
2018-03-03,3.6645100116729736,2018-03-03ICX,ICX
2018-03-04,3.6448099613189697,2018-03-04ICX,ICX
2018-03-05,3.5850300788879395,2018-03-05ICX,ICX
2018-03-06,3.4190900325775146,2018-03-06ICX,ICX
2018-03-07,3.002310037612915,2018-03-07ICX,ICX
2018-03-08,2.6119799613952637,2018-03-08ICX,ICX
2018-03-09,2.7155001163482666,2018-03-09ICX,ICX
2018-03-10,2.4734199047088623,2018-03-10ICX,ICX
2018-03-11,2.77593994140625,2018-03-11ICX,ICX
2018-03-12,2.639549970626831,2018-03-12ICX,ICX
2018-03-13,2.8800899982452393,2018-03-13ICX,ICX
2018-03-14,2.3778700828552246,2018-03-14ICX,ICX
2018-03-15,2.2711501121520996,2018-03-15ICX,ICX
2018-03-16,2.2504100799560547,2018-03-16ICX,ICX
2018-03-17,1.9565399885177612,2018-03-17ICX,ICX
2018-03-18,2.065969944000244,2018-03-18ICX,ICX
2018-03-19,2.3507299423217773,2018-03-19ICX,ICX
2018-03-20,2.6151700019836426,2018-03-20ICX,ICX
2018-03-21,3.473059892654419,2018-03-21ICX,ICX
2018-03-22,3.5850799083709717,2018-03-22ICX,ICX
2018-03-23,4.056560039520264,2018-03-23ICX,ICX
2018-03-24,3.635190010070801,2018-03-24ICX,ICX
2018-03-25,3.51203989982605,2018-03-25ICX,ICX
2018-03-26,3.0568299293518066,2018-03-26ICX,ICX
2018-03-27,2.8393900394439697,2018-03-27ICX,ICX
2018-03-28,2.8466498851776123,2018-03-28ICX,ICX
2018-03-29,2.3317999839782715,2018-03-29ICX,ICX
2018-03-30,2.278170108795166,2018-03-30ICX,ICX
2018-03-31,2.20661997795105,2018-03-31ICX,ICX
2018-04-01,2.057650089263916,2018-04-01ICX,ICX
2018-04-02,2.120569944381714,2018-04-02ICX,ICX
2018-04-03,2.3244199752807617,2018-04-03ICX,ICX
2018-04-04,2.055299997329712,2018-04-04ICX,ICX
2018-04-05,1.9644399881362915,2018-04-05ICX,ICX
2018-04-06,1.8940199613571167,2018-04-06ICX,ICX
2018-04-07,2.041759967803955,2018-04-07ICX,ICX
2018-04-08,2.069819927215576,2018-04-08ICX,ICX
2018-04-09,2.0105199813842773,2018-04-09ICX,ICX
2018-04-10,2.1068899631500244,2018-04-10ICX,ICX
2018-04-11,2.241349935531616,2018-04-11ICX,ICX
2018-04-12,2.5613598823547363,2018-04-12ICX,ICX
2018-04-13,2.4760100841522217,2018-04-13ICX,ICX
2018-04-14,2.513540029525757,2018-04-14ICX,ICX
2018-04-15,2.748689889907837,2018-04-15ICX,ICX
2018-04-16,2.8267300128936768,2018-04-16ICX,ICX
2018-04-17,2.792030096054077,2018-04-17ICX,ICX
2018-04-18,3.1752400398254395,2018-04-18ICX,ICX
2018-04-19,3.287179946899414,2018-04-19ICX,ICX
2018-04-20,3.500659942626953,2018-04-20ICX,ICX
2018-04-21,3.470439910888672,2018-04-21ICX,ICX
2018-04-22,3.4500300884246826,2018-04-22ICX,ICX
2018-04-23,3.8438799381256104,2018-04-23ICX,ICX
2018-04-24,4.29817008972168,2018-04-24ICX,ICX
2018-04-25,3.7116899490356445,2018-04-25ICX,ICX
2018-04-26,4.290130138397217,2018-04-26ICX,ICX
2018-04-27,4.304049968719482,2018-04-27ICX,ICX
2018-04-28,4.834959983825684,2018-04-28ICX,ICX
2018-04-29,4.7053399085998535,2018-04-29ICX,ICX
2018-04-30,4.339630126953125,2018-04-30ICX,ICX
2018-05-01,4.409800052642822,2018-05-01ICX,ICX
