Date,Close,CryptoID,Ticker
2017-11-09,5.999999848427251e-05,2017-11-09KIN,KIN
2017-11-10,5.2999999752501026e-05,2017-11-10KIN,KIN
2017-11-11,5.0999999075429514e-05,2017-11-11KIN,KIN
2017-11-12,4.999999873689376e-05,2017-11-12KIN,KIN
2017-11-13,5.2999999752501026e-05,2017-11-13KIN,KIN
2017-11-14,5.6000000768108293e-05,2017-11-14KIN,KIN
2017-11-15,5.6000000768108293e-05,2017-11-15KIN,KIN
2017-11-16,5.700000110664405e-05,2017-11-16KIN,KIN
2017-11-17,5.999999848427251e-05,2017-11-17KIN,KIN
2017-11-18,6.70000008540228e-05,2017-11-18KIN,KIN
2017-11-19,7.599999662488699e-05,2017-11-19KIN,KIN
2017-11-20,7.599999662488699e-05,2017-11-20KIN,KIN
2017-11-21,6.199999916134402e-05,2017-11-21KIN,KIN
2017-11-22,6.399999983841553e-05,2017-11-22KIN,KIN
2017-11-23,6.299999949987978e-05,2017-11-23KIN,KIN
2017-11-24,7.599999662488699e-05,2017-11-24KIN,KIN
2017-11-25,7.000000186963007e-05,2017-11-25KIN,KIN
2017-11-26,6.800000119255856e-05,2017-11-26KIN,KIN
2017-11-27,6.199999916134402e-05,2017-11-27KIN,KIN
2017-11-28,6.199999916134402e-05,2017-11-28KIN,KIN
2017-11-29,5.900000178371556e-05,2017-11-29KIN,KIN
2017-11-30,6.900000153109431e-05,2017-11-30KIN,KIN
2017-12-01,6.800000119255856e-05,2017-12-01KIN,KIN
2017-12-02,6.900000153109431e-05,2017-12-02KIN,KIN
2017-12-03,7.400000322377309e-05,2017-12-03KIN,KIN
2017-12-04,6.500000017695129e-05,2017-12-04KIN,KIN
2017-12-05,6.900000153109431e-05,2017-12-05KIN,KIN
2017-12-06,6.500000017695129e-05,2017-12-06KIN,KIN
2017-12-07,6.500000017695129e-05,2017-12-07KIN,KIN
2017-12-08,6.199999916134402e-05,2017-12-08KIN,KIN
2017-12-09,6.600000051548705e-05,2017-12-09KIN,KIN
2017-12-10,5.6000000768108293e-05,2017-12-10KIN,KIN
2017-12-11,6.800000119255856e-05,2017-12-11KIN,KIN
2017-12-12,6.199999916134402e-05,2017-12-12KIN,KIN
2017-12-13,6.800000119255856e-05,2017-12-13KIN,KIN
2017-12-14,7.100000220816582e-05,2017-12-14KIN,KIN
2017-12-15,6.70000008540228e-05,2017-12-15KIN,KIN
2017-12-16,8.70000003487803e-05,2017-12-16KIN,KIN
2017-12-17,0.0001250000059371814,2017-12-17KIN,KIN
2017-12-18,0.00015300000086426735,2017-12-18KIN,KIN
2017-12-19,0.00014400000509340316,2017-12-19KIN,KIN
2017-12-20,0.0001320000010309741,2017-12-20KIN,KIN
2017-12-21,0.00014400000509340316,2017-12-21KIN,KIN
2017-12-22,0.0001230000052601099,2017-12-22KIN,KIN
2017-12-23,0.00013000000035390258,2017-12-23KIN,KIN
2017-12-24,0.00012599999899975955,2017-12-24KIN,KIN
2017-12-25,0.0001340000017080456,2017-12-25KIN,KIN
2017-12-26,0.00013499999477062374,2017-12-26KIN,KIN
2017-12-27,0.00013800000306218863,2017-12-27KIN,KIN
2017-12-28,0.00013800000306218863,2017-12-28KIN,KIN
2017-12-29,0.00024399999529123306,2017-12-29KIN,KIN
2017-12-30,0.00024500000290572643,2017-12-30KIN,KIN
2017-12-31,0.0004490000137593597,2017-12-31KIN,KIN
2018-01-01,0.0003640000068116933,2018-01-01KIN,KIN
2018-01-02,0.00039400000241585076,2018-01-02KIN,KIN
2018-01-03,0.000455000001238659,2018-01-03KIN,KIN
2018-01-04,0.0004670000053010881,2018-01-04KIN,KIN
2018-01-05,0.0008750000270083547,2018-01-05KIN,KIN
2018-01-06,0.0012290000449866056,2018-01-06KIN,KIN
2018-01-07,0.0012499999720603228,2018-01-07KIN,KIN
2018-01-08,0.001108999946154654,2018-01-08KIN,KIN
2018-01-09,0.000813000020571053,2018-01-09KIN,KIN
2018-01-10,0.0008529999759048223,2018-01-10KIN,KIN
2018-01-11,0.000666000007186085,2018-01-11KIN,KIN
2018-01-12,0.0006000000284984708,2018-01-12KIN,KIN
2018-01-13,0.0006840000278316438,2018-01-13KIN,KIN
2018-01-14,0.0006280000088736415,2018-01-14KIN,KIN
2018-01-15,0.0005259999888949096,2018-01-15KIN,KIN
2018-01-16,0.00043799998820759356,2018-01-16KIN,KIN
2018-01-17,0.00038400001358240843,2018-01-17KIN,KIN
2018-01-18,0.0005300000193528831,2018-01-18KIN,KIN
2018-01-19,0.000526999996509403,2018-01-19KIN,KIN
2018-01-20,0.0005929999751970172,2018-01-20KIN,KIN
2018-01-21,0.0004949999856762588,2018-01-21KIN,KIN
2018-01-22,0.0004720000142697245,2018-01-22KIN,KIN
2018-01-23,0.00037299998803064227,2018-01-23KIN,KIN
2018-01-24,0.0004130000015720725,2018-01-24KIN,KIN
2018-01-25,0.00042100000428035855,2018-01-25KIN,KIN
2018-01-26,0.00039999998989515007,2018-01-26KIN,KIN
2018-01-27,0.00037399999564513564,2018-01-27KIN,KIN
2018-01-28,0.0004239999980200082,2018-01-28KIN,KIN
2018-01-29,0.0003929999948013574,2018-01-29KIN,KIN
2018-01-30,0.0003239999932702631,2018-01-30KIN,KIN
2018-01-31,0.0003349999897181988,2018-01-31KIN,KIN
2018-02-01,0.0003009999927598983,2018-02-01KIN,KIN
2018-02-02,0.0003209999995306134,2018-02-02KIN,KIN
2018-02-03,0.00031999999191612005,2018-02-03KIN,KIN
2018-02-04,0.00028899998869746923,2018-02-04KIN,KIN
2018-02-05,0.00022400000307243317,2018-02-05KIN,KIN
2018-02-06,0.0002840000088326633,2018-02-06KIN,KIN
2018-02-07,0.0002610000083222985,2018-02-07KIN,KIN
2018-02-08,0.00027799999224953353,2018-02-08KIN,KIN
2018-02-09,0.0002880000101868063,2018-02-09KIN,KIN
2018-02-10,0.000295000005280599,2018-02-10KIN,KIN
2018-02-11,0.0002610000083222985,2018-02-11KIN,KIN
2018-02-12,0.000295000005280599,2018-02-12KIN,KIN
2018-02-13,0.0002699999895412475,2018-02-13KIN,KIN
2018-02-14,0.0003100000030826777,2018-02-14KIN,KIN
2018-02-15,0.00030399998649954796,2018-02-15KIN,KIN
